15 3280  -0.002160000000000009 1e-05 0  0.06784 0 0   -0.0006815757633775732 0.04874364836605771 0  
15 3280  -0.001840000000000008 1e-05 0  0.06816 0 0   -0.0006815757633775732 0.04874364836605771 0  
15 3280  -0.001520000000000007 1e-05 0  0.06848 0 0   -0.0006815757633775732 0.04874364836605771 0  
15 3280  -0.001200000000000007 1e-05 0  0.0688 0 0   -0.0006815757633775732 0.04874364836605771 0  
15 3280  -0.0008800000000000058 1e-05 0  0.06912 0 0   -0.0006815757633775732 0.04874364836605771 0  
15 3280  -0.0005600000000000049 1e-05 0  0.06944 0 0   -0.0006815757633775732 0.04874364836605771 0  
15 3280  -0.0002400000000000041 1e-05 0  0.06976 0 0   -0.0006815757633775732 0.04874364836605771 0  
15 3171  7.999999999999674e-05 1e-05 0  0.07008 0 0   -4.793148354220733e-05 0.04791309438800972 0  
15 3171  0.0003999999999999976 1e-05 0  0.0704 0 0   -4.793148354220733e-05 0.04791309438800972 0  
15 3171  0.0007199999999999984 1e-05 0  0.07072000000000001 0 0   -4.793148354220733e-05 0.04791309438800972 0  
15 3171  0.001039999999999999 1e-05 0  0.07104000000000001 0 0   -4.793148354220733e-05 0.04791309438800972 0  
15 3171  0.00136 1e-05 0  0.07136000000000001 0 0   -4.793148354220733e-05 0.04791309438800972 0  
15 3171  0.001680000000000001 1e-05 0  0.07168000000000001 0 0   -4.793148354220733e-05 0.04791309438800972 0  
15 3171  0.002000000000000002 1e-05 0  0.07200000000000001 0 0   -4.793148354220733e-05 0.04791309438800972 0  
15 3171  0.002320000000000003 1e-05 0  0.07232000000000001 0 0   -4.793148354220733e-05 0.04791309438800972 0  
15 3171  0.002640000000000003 1e-05 0  0.07264000000000001 0 0   -4.793148354220733e-05 0.04791309438800972 0  
15 3171  0.002960000000000004 1e-05 0  0.07296000000000001 0 0   -4.793148354220733e-05 0.04791309438800972 0  
15 3171  0.003279999999999991 1e-05 0  0.07328 0 0   -4.793148354220733e-05 0.04791309438800972 0  
15 3171  0.003599999999999992 1e-05 0  0.0736 0 0   -4.793148354220733e-05 0.04791309438800972 0  
15 3171  0.003919999999999993 1e-05 0  0.07392 0 0   -4.793148354220733e-05 0.04791309438800972 0  
15 3171  0.004239999999999994 1e-05 0  0.07424 0 0   -4.793148354220733e-05 0.04791309438800972 0  
15 3171  0.004559999999999995 1e-05 0  0.07456 0 0   -4.793148354220733e-05 0.04791309438800972 0  
15 3171  0.004879999999999995 1e-05 0  0.07488 0 0   -4.793148354220733e-05 0.04791309438800972 0  
15 3171  0.005199999999999996 1e-05 0  0.0752 0 0   -4.793148354220733e-05 0.04791309438800972 0  
15 3171  0.005519999999999997 1e-05 0  0.07552 0 0   -4.793148354220733e-05 0.04791309438800972 0  
15 3080  0.005839999999999998 1e-05 0  0.07584 0 0   0.0007261112965402106 0.04839539797015746 0  
15 3080  0.006159999999999985 1e-05 0  0.07615999999999999 0 0   0.0007261112965402106 0.04839539797015746 0  
15 3080  0.006479999999999986 1e-05 0  0.07647999999999999 0 0   0.0007261112965402106 0.04839539797015746 0  
15 3080  0.006799999999999987 1e-05 0  0.07679999999999999 0 0   0.0007261112965402106 0.04839539797015746 0  
15 3080  0.007119999999999987 1e-05 0  0.07711999999999999 0 0   0.0007261112965402106 0.04839539797015746 0  
15 3080  0.007439999999999988 1e-05 0  0.07743999999999999 0 0   0.0007261112965402106 0.04839539797015746 0  
15 3080  0.007759999999999989 1e-05 0  0.07776 0 0   0.0007261112965402106 0.04839539797015746 0  
15 3080  0.00807999999999999 1e-05 0  0.07808 0 0   0.0007261112965402106 0.04839539797015746 0  
15 3080  0.008399999999999991 1e-05 0  0.0784 0 0   0.0007261112965402106 0.04839539797015746 0  
15 3080  0.008719999999999992 1e-05 0  0.07872 0 0   0.0007261112965402106 0.04839539797015746 0  
15 3080  0.009039999999999992 1e-05 0  0.07904 0 0   0.0007261112965402106 0.04839539797015746 0  
15 3080  0.009359999999999993 1e-05 0  0.07936 0 0   0.0007261112965402106 0.04839539797015746 0  
15 3080  0.009679999999999994 1e-05 0  0.07968 0 0   0.0007261112965402106 0.04839539797015746 0  
15 3080  0.009999999999999995 1e-05 0  0.08 0 0   0.0007261112965402106 0.04839539797015746 0  
15 3080  0.01032 1e-05 0  0.08032 0 0   0.0007261112965402106 0.04839539797015746 0  
15 3080  0.01064 1e-05 0  0.08064 0 0   0.0007261112965402106 0.04839539797015746 0  
15 3080  0.01096 1e-05 0  0.08096 0 0   0.0007261112965402106 0.04839539797015746 0  
15 3282  0.01128 1e-05 0  0.08128000000000001 0 0   0.001335353004039419 0.05061420473690603 0  
15 3282  0.0116 1e-05 0  0.08160000000000001 0 0   0.001335353004039419 0.05061420473690603 0  
15 3282  0.01192 1e-05 0  0.08192000000000001 0 0   0.001335353004039419 0.05061420473690603 0  
15 3282  0.01224 1e-05 0  0.08224000000000001 0 0   0.001335353004039419 0.05061420473690603 0  
15 3282  0.01256 1e-05 0  0.08256000000000001 0 0   0.001335353004039419 0.05061420473690603 0  
15 3282  0.01288 1e-05 0  0.08288000000000001 0 0   0.001335353004039419 0.05061420473690603 0  
15 3282  0.0132 1e-05 0  0.08320000000000001 0 0   0.001335353004039419 0.05061420473690603 0  
15 3282  0.01352 1e-05 0  0.08352000000000001 0 0   0.001335353004039419 0.05061420473690603 0  
15 3282  0.01384000000000001 1e-05 0  0.08384000000000001 0 0   0.001335353004039419 0.05061420473690603 0  
15 3282  0.01415999999999999 1e-05 0  0.08416 0 0   0.001335353004039419 0.05061420473690603 0  
15 3282  0.01447999999999999 1e-05 0  0.08448 0 0   0.001335353004039419 0.05061420473690603 0  
15 3282  0.01479999999999999 1e-05 0  0.0848 0 0   0.001335353004039419 0.05061420473690603 0  
15 3282  0.01511999999999999 1e-05 0  0.08512 0 0   0.001335353004039419 0.05061420473690603 0  
15 3282  0.01544 1e-05 0  0.08544 0 0   0.001335353004039419 0.05061420473690603 0  
